[00401BB7],0.000000,0.353954,0.000000,0.011615,chanfilter,,0
[00401BC9],0.005974,0.005974,0.000196,0.000196,chanfilter,,0
[00401BD2],0.002959,0.002959,0.000097,0.000097,chanfilter,,0
[00401BE3],0.000000,0.119321,0.000000,0.003915,chanfilter,,0
[00401BF0],0.000000,0.092758,0.000000,0.003044,chanfilter,,0
[00401BFA],0.000000,0.042148,0.000000,0.001383,chanfilter,,0
[00402066],0.054100,0.054100,0.001775,0.001775,chanfilter,,0
[00402080],0.002995,0.002995,0.000098,0.000098,chanfilter,,0
[0040208F],0.002980,0.002980,0.000098,0.000098,chanfilter,,0
[0040209F],0.002976,0.002976,0.000098,0.000098,chanfilter,,0
[004020B9],0.002979,0.002979,0.000098,0.000098,chanfilter,,0
[004020BE],0.008988,0.008988,0.000295,0.000295,chanfilter,,0
[004020CB],0.002917,0.002917,0.000096,0.000096,chanfilter,,0
[004020E3],0.003008,0.003008,0.000099,0.000099,chanfilter,,0
[004020E9],0.005921,0.005921,0.000194,0.000194,chanfilter,,0
[00402126],0.000000,0.005007,0.000000,0.000164,chanfilter,,0
[00402139],0.003027,0.003027,0.000099,0.000099,chanfilter,,0
[0040214B],0.012043,0.012043,0.000395,0.000395,chanfilter,,0
[0040217D],0.000000,0.016506,0.000000,0.000542,chanfilter,,0
[0040218F],0.000000,0.008981,0.000000,0.000295,chanfilter,,0
[00402198],0.030907,0.030907,0.001014,0.001014,chanfilter,,0
[0040219D],0.002995,0.002995,0.000098,0.000098,chanfilter,,0
[004021A8],0.003075,0.003075,0.000101,0.000101,chanfilter,,0
[004021AC],0.021001,0.021001,0.000689,0.000689,chanfilter,,0
[004021AF],0.009962,0.009962,0.000327,0.000327,chanfilter,,0
[004021B6],0.003020,0.003020,0.000099,0.000099,chanfilter,,0
[004021C7],0.006026,0.006026,0.000198,0.000198,chanfilter,,0
[004021CD],0.003001,0.003001,0.000098,0.000098,chanfilter,,0
[004021D0],0.002977,0.002977,0.000098,0.000098,chanfilter,,0
[004021D5],0.002999,0.002999,0.000098,0.000098,chanfilter,,0
[004021DA],0.000000,0.157713,0.000000,0.005175,chanfilter,,0
[004021FE],0.000000,0.097430,0.000000,0.003197,chanfilter,,0
[00402205],0.015074,0.015074,0.000495,0.000495,chanfilter,,0
[0040222D],0.000000,0.006028,0.000000,0.000198,chanfilter,,0
[00402243],0.011125,0.011125,0.000365,0.000365,chanfilter,,0
[0040224C],0.000000,0.012045,0.000000,0.000395,chanfilter,,0
[0040224F],0.005055,0.005055,0.000166,0.000166,chanfilter,,0
[0040225F],0.007951,0.274862,0.000261,0.009019,chanfilter,,0
[00402262],0.004002,0.004002,0.000131,0.000131,chanfilter,,0
[00402265],0.009090,0.009090,0.000298,0.000298,chanfilter,,0
[00402269],0.003029,0.003029,0.000099,0.000099,chanfilter,,0
[0040228D],0.000000,0.015168,0.000000,0.000498,chanfilter,,0
[0040229F],0.006030,0.009032,0.000198,0.000296,chanfilter,,0
[004022A7],0.003965,0.003965,0.000130,0.000130,chanfilter,,0
[004022B0],0.006066,0.006066,0.000199,0.000199,chanfilter,,0
[004022B4],0.015007,0.015007,0.000492,0.000492,chanfilter,,0
[004022B6],0.005036,0.005036,0.000165,0.000165,chanfilter,,0
[004022B7],0.006007,0.006007,0.000197,0.000197,chanfilter,,0
[004022CA],0.002928,0.002928,0.000096,0.000096,chanfilter,,0
[004022CF],0.047222,0.047222,0.001550,0.001550,chanfilter,,0
[004022DA],0.007099,0.007099,0.000233,0.000233,chanfilter,,0
[004022E2],0.000000,0.154322,0.000000,0.005064,chanfilter,,0
[004022E9],0.002990,0.002990,0.000098,0.000098,chanfilter,,0
[004022EB],0.005969,0.005969,0.000196,0.000196,chanfilter,,0
[004022F2],0.006012,0.006012,0.000197,0.000197,chanfilter,,0
[004022F5],0.011973,0.011973,0.000393,0.000393,chanfilter,,0
